supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x4ef69d39ccae54454bbaaa269a7f4dd07859e582,1580744758,1614086118,0x477b8d5ef7c2c42db84deb555419cd817c336b6f,self,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,260,1182,1182,92,8,44,56,1.8307692307692307
0x5e8c62645f3993397db101b9f933f9300d9d7417,1637122481,1681529987,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,self,self,0x32400084c286cf3e17e7b677ea9583e60a000324,24,529,529,24,6,1,1,21.0
0xce9dfa5595b43cd7800dac3683ebe40665826a91,1619353042,1650206470,0xfb60d868fe66b6ba05de859701d335a919315416,self,self,0xabc207502ea88d9bca29b95cd2eee5f0d7936418,259,735,733,90,10,53,47,0.3706563706563706
0xa82bcd1ba56b4bb0f46bc29da53413c73be27509,1608229563,1630704472,0x8c27e91b1a9965c1a2e0beb389075e57691267f1,self,self,0xecb9b2ea457740fbde58c758e4c574834224413e,152,864,870,93,7,63,37,3.8947368421052633
0x0e31f07b25cb166dbffd74fc09ae2ccc1f55143e,1634003207,1682469167,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0x00000000000001ad428e4906ae43d8f9852d0dd6,79,565,563,79,9,13,15,6.860759493670886
0x11b9dd6d3129eb740011b1a948adcbcb67758a10,1611128163,1640523565,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0xe927709d9431f257e024d7f7aacd520da5381e28,360,830,903,87,13,21,79,0.4972222222222222
0xc78f3da585259f32a1e426294fdac90d085c6ec9,1666175207,1671804443,self,0xa478f7e11ea0249b00a7b6a1a794f5bc250be6b5,self,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,185,193,157,97,3,47,53,0.4918918918918919
0x522d634b6bffb444fdbcde5932738995a4cfd1f1,1603653585,1623584505,self,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131,self,0x956f47f50a910163d8bf957cf5846d573e7f87ca,370,917,917,86,14,47,53,0.527027027027027
0x6a8467e19a8ce6cf7dc5ee0f4ddc78423373042d,1629804194,1675169015,0x35d40cafaad48530a938bfb110625be08c4335d1,self,self,0x045e87967d36cafafa43807e233504a009692725,9,614,89,9,4,2,1,58.11111111111112
0x2fc39b30ba4c89c1ce608a4d34d83082c517c4d5,1636851816,1674992843,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,75,532,532,75,2,26,25,5.76
0x5d9198d3f46f67cb54ea4e6e68daf8a7396b510f,1653948414,1672674323,0x9696f59e4d72e237be84ffd425dcad154bf96976,self,self,0xff1f2b4adb9df6fc8eafecdcbf96a2b351680455,136,335,286,95,5,33,34,1.3970588235294117
0xb2023c43e57f77e0993b05b8fc975c7907218ca5,1667043791,1682669651,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,self,self,0x9d90669665607f08005cae4a7098143f554c59ef,74,183,183,74,3,11,19,2.256756756756757
